total_displacement,total_force
0,0
0.00102564102564,3.17806855389e-08
0.00205128205128,6.35613710847e-08
0.00307692307692,9.53420566065e-08
0.00410256410256,1.27122742147e-07
0.00512820512821,1.58903427042e-07
0.00615384615385,1.90684113216e-07
0.00717948717949,2.2246479988e-07
0.00820512820513,2.54245484329e-07
0.00923076923077,2.86026167918e-07
0.0102564102564,3.17806854061e-07
0.0112820512821,3.49587540015e-07
0.0123076923077,3.81368226429e-07
0.0133333333333,4.1314891097e-07
0.014358974359,4.44929599811e-07
0.0153846153846,4.76710280596e-07
0.0164102564103,5.08490968519e-07
0.0174358974359,5.40271652932e-07
0.0184615384615,5.72052335831e-07
0.0194871794872,6.03833027423e-07
0.0205128205128,5.17557982633e-07
0.0215384615385,5.43435885134e-07
0.0225641025641,5.69313779227e-07
0.0235897435897,5.9519167707e-07
0.0246153846154,5.55228165518e-07
0.025641025641,5.78362675979e-07
0.0266666666667,4.89123156303e-07
0.0276923076923,4.01228075079e-07
0.0287179487179,4.160883687e-07
0.0297435897436,4.30948663209e-07
0.0307692307692,4.45808962663e-07
0.0317948717949,4.60669256484e-07
0.0328205128205,3.63111725896e-07
0.0338461538462,3.74458966413e-07
0.0348717948718,3.8580621012e-07
0.0358974358974,2.81605397352e-07
0.0369230769231,2.89651257044e-07
0.0379487179487,2.97697134393e-07
0.0389743589744,1.88750486904e-07
0.04,1.93717626021e-07
